iter	Passed	Remaining
0	256	255819
1	349	174615
2	445	148008
3	533	132726
4	623	124015
5	709	117577
6	797	113191
7	887	110019
8	975	107383
9	1063	105329
10	1152	103632
11	1243	102379
12	1329	100909
13	1418	99911
14	1508	99067
15	1595	98113
16	1685	97470
17	1772	96697
18	1860	96035
19	1947	95426
20	2033	94806
21	2122	94334
22	2211	93930
23	2297	93437
24	2383	92952
25	2469	92517
26	2554	92065
27	2642	91738
28	2727	91339
29	2811	90917
30	2899	90621
31	2985	90319
32	3071	89992
33	3156	89673
34	3244	89455
35	3333	89262
36	3422	89088
37	3508	88823
38	3597	88655
39	3682	88386
40	3771	88222
41	3857	87990
42	3942	87733
43	4025	87469
44	4113	87301
45	4202	87155
46	4289	86976
47	4372	86728
48	4457	86517
49	4544	86339
50	4632	86194
51	4718	86024
52	4807	85901
53	4898	85807
54	4984	85636
55	5069	85458
56	5156	85300
57	5240	85112
58	5326	84957
59	5413	84811
60	5501	84694
61	5587	84536
62	5675	84418
63	5763	84286
64	5848	84126
65	5932	83947
66	6018	83807
67	6106	83693
68	6191	83539
69	6279	83426
70	6364	83281
71	6452	83163
72	6537	83014
73	6620	82849
74	6711	82776
75	6797	82640
76	6882	82506
77	6969	82386
78	7058	82289
79	7148	82205
80	7241	82161
81	7329	82058
82	7417	81945
83	7502	81814
84	7587	81675
85	7674	81565
86	7762	81466
87	7846	81321
88	7930	81178
89	8019	81085
90	8106	80979
91	8195	80887
92	8281	80765
93	8367	80646
94	8454	80540
95	8540	80422
96	8627	80317
97	8712	80186
98	8798	80076
99	8884	79959
100	8969	79836
101	9057	79737
102	9141	79613
103	9228	79510
104	9314	79396
105	9398	79264
106	9484	79158
107	9572	79065
108	9659	78960
109	9745	78852
110	9832	78748
111	9922	78670
112	10012	78596
113	10101	78510
114	10190	78419
115	10277	78320
116	10366	78232
117	10455	78149
118	10540	78035
119	10629	77952
120	10716	77852
121	10801	77737
122	10888	77635
123	10978	77556
124	11071	77498
125	11160	77412
126	11250	77333
127	11336	77233
128	11427	77156
129	11513	77050
130	11600	76949
131	11685	76842
132	11780	76793
133	11880	76780
134	11982	76776
135	12080	76747
136	12177	76707
137	12277	76688
138	12375	76656
139	12469	76599
140	12566	76558
141	12662	76511
142	12761	76480
143	12859	76440
144	12958	76408
145	13050	76335
146	13143	76267
147	13243	76240
148	13336	76170
149	13434	76127
150	13531	76081
151	13628	76033
152	13727	75992
153	13820	75923
154	13917	75870
155	14011	75807
156	14109	75760
157	14207	75712
158	14302	75651
159	14399	75597
160	14494	75532
161	14593	75489
162	14690	75433
163	14784	75367
164	14882	75314
165	14976	75243
166	15070	75173
167	15165	75107
168	15259	75034
169	15356	74974
170	15456	74931
171	15555	74882
172	15651	74819
173	15748	74760
174	15848	74712
