index;Genre;start_date;end_date
mellow_gold;108;1958-01-01;1963-01-01
soft_rock;34;1958-01-01;1963-01-01
adult_standards;914;1958-01-01;1963-01-01
brill_building_pop;940;1958-01-01;1963-01-01
rock;32;1958-01-01;1963-01-01
dance_pop;21;1958-01-01;1963-01-01
pop;1;1958-01-01;1963-01-01
soul;413;1958-01-01;1963-01-01
motown;266;1958-01-01;1963-01-01
pop_rap;1;1958-01-01;1963-01-01
rap;9;1958-01-01;1963-01-01
folk_rock;125;1958-01-01;1963-01-01
album_rock;2;1958-01-01;1963-01-01
classic_rock;20;1958-01-01;1963-01-01
quiet_storm;74;1958-01-01;1963-01-01
hip_hop;6;1958-01-01;1963-01-01
bubblegum_pop;274;1958-01-01;1963-01-01
rock-and-roll;852;1958-01-01;1963-01-01
funk;53;1958-01-01;1963-01-01
classic_soul;159;1958-01-01;1963-01-01
urban_contemporary;3;1958-01-01;1963-01-01
country;28;1958-01-01;1963-01-01
r&b;1;1958-01-01;1963-01-01
disco;17;1958-01-01;1963-01-01
post-teen_pop;3;1958-01-01;1963-01-01
contemporary_country;1;1958-01-01;1963-01-01
country_rock;57;1958-01-01;1963-01-01
southern_soul;155;1958-01-01;1963-01-01
trap;2;1958-01-01;1963-01-01
folk;39;1958-01-01;1963-01-01
southern_hip_hop;6;1958-01-01;1963-01-01
lounge;422;1958-01-01;1963-01-01
rhythm_and_blues;461;1958-01-01;1963-01-01
rockabilly;594;1958-01-01;1963-01-01
art_rock;1;1958-01-01;1963-01-01
new_jack_swing;2;1958-01-01;1963-01-01
merseybeat;125;1958-01-01;1963-01-01
classic_uk_pop;20;1958-01-01;1963-01-01
easy_listening;296;1958-01-01;1963-01-01
doo-wop;450;1958-01-01;1963-01-01
psychedelic_rock;4;1958-01-01;1963-01-01
roots_rock;1;1958-01-01;1963-01-01
blues_rock;29;1958-01-01;1963-01-01
