index;Genre;start_date;end_date
mellow_gold;875;1978-01-01;1983-01-01
soft_rock;920;1978-01-01;1983-01-01
adult_standards;358;1978-01-01;1983-01-01
brill_building_pop;85;1978-01-01;1983-01-01
rock;569;1978-01-01;1983-01-01
dance_pop;41;1978-01-01;1983-01-01
pop;18;1978-01-01;1983-01-01
soul;227;1978-01-01;1983-01-01
motown;253;1978-01-01;1983-01-01
pop_rap;7;1978-01-01;1983-01-01
rap;8;1978-01-01;1983-01-01
folk_rock;399;1978-01-01;1983-01-01
album_rock;608;1978-01-01;1983-01-01
classic_rock;549;1978-01-01;1983-01-01
quiet_storm;267;1978-01-01;1983-01-01
hip_hop;9;1978-01-01;1983-01-01
bubblegum_pop;177;1978-01-01;1983-01-01
rock-and-roll;31;1978-01-01;1983-01-01
funk;238;1978-01-01;1983-01-01
classic_soul;100;1978-01-01;1983-01-01
urban_contemporary;71;1978-01-01;1983-01-01
country;90;1978-01-01;1983-01-01
r&b;22;1978-01-01;1983-01-01
disco;369;1978-01-01;1983-01-01
post-teen_pop;5;1978-01-01;1983-01-01
new_wave_pop;220;1978-01-01;1983-01-01
country_rock;318;1978-01-01;1983-01-01
southern_soul;43;1978-01-01;1983-01-01
country_road;7;1978-01-01;1983-01-01
pop_rock;74;1978-01-01;1983-01-01
folk;178;1978-01-01;1983-01-01
southern_hip_hop;2;1978-01-01;1983-01-01
hard_rock;265;1978-01-01;1983-01-01
lounge;50;1978-01-01;1983-01-01
hip_pop;6;1978-01-01;1983-01-01
rhythm_and_blues;6;1978-01-01;1983-01-01
rockabilly;13;1978-01-01;1983-01-01
art_rock;226;1978-01-01;1983-01-01
dance_rock;138;1978-01-01;1983-01-01
new_jack_swing;35;1978-01-01;1983-01-01
merseybeat;11;1978-01-01;1983-01-01
classic_uk_pop;128;1978-01-01;1983-01-01
easy_listening;17;1978-01-01;1983-01-01
doo-wop;9;1978-01-01;1983-01-01
psychedelic_rock;62;1978-01-01;1983-01-01
gangster_rap;2;1978-01-01;1983-01-01
roots_rock;131;1978-01-01;1983-01-01
blues_rock;102;1978-01-01;1983-01-01
