index;genre;totals;start_date;end_date
0;mellow_gold;6;2018-01-01;2023-12-31
1;soft_rock;3;2018-01-01;2023-12-31
2;adult_standards;32;2018-01-01;2023-12-31
3;brill_building_pop;11;2018-01-01;2023-12-31
4;rock;16;2018-01-01;2023-12-31
5;dance_pop;232;2018-01-01;2023-12-31
6;pop;522;2018-01-01;2023-12-31
7;soul;5;2018-01-01;2023-12-31
8;motown;5;2018-01-01;2023-12-31
9;pop_rap;509;2018-01-01;2023-12-31
10;rap;722;2018-01-01;2023-12-31
11;folk_rock;3;2018-01-01;2023-12-31
12;album_rock;3;2018-01-01;2023-12-31
13;classic_rock;5;2018-01-01;2023-12-31
14;quiet_storm;1;2018-01-01;2023-12-31
15;hip_hop;361;2018-01-01;2023-12-31
16;rock-and-roll;2;2018-01-01;2023-12-31
17;funk;1;2018-01-01;2023-12-31
18;classic_soul;1;2018-01-01;2023-12-31
19;urban_contemporary;27;2018-01-01;2023-12-31
20;country;122;2018-01-01;2023-12-31
21;r&b;56;2018-01-01;2023-12-31
22;post-teen_pop;245;2018-01-01;2023-12-31
23;new_wave_pop;2;2018-01-01;2023-12-31
24;contemporary_country;222;2018-01-01;2023-12-31
25;country_rock;1;2018-01-01;2023-12-31
26;southern_soul;1;2018-01-01;2023-12-31
27;country_road;132;2018-01-01;2023-12-31
28;trap;459;2018-01-01;2023-12-31
29;pop_rock;20;2018-01-01;2023-12-31
30;southern_hip_hop;181;2018-01-01;2023-12-31
31;hard_rock;1;2018-01-01;2023-12-31
32;lounge;8;2018-01-01;2023-12-31
33;hip_pop;21;2018-01-01;2023-12-31
34;rockabilly;2;2018-01-01;2023-12-31
35;art_rock;1;2018-01-01;2023-12-31
36;dance_rock;1;2018-01-01;2023-12-31
37;easy_listening;11;2018-01-01;2023-12-31
38;psychedelic_rock;1;2018-01-01;2023-12-31
39;gangster_rap;37;2018-01-01;2023-12-31
40;blues_rock;1;2018-01-01;2023-12-31
