index;genre;count;start_date;end_date
0;mellow_gold;639;1968-01-01;1973-01-01
1;soft_rock;529;1968-01-01;1973-01-01
2;adult_standards;625;1968-01-01;1973-01-01
3;brill_building_pop;679;1968-01-01;1973-01-01
4;rock;420;1968-01-01;1973-01-01
5;dance_pop;10;1968-01-01;1973-01-01
6;pop;39;1968-01-01;1973-01-01
7;soul;743;1968-01-01;1973-01-01
8;motown;683;1968-01-01;1973-01-01
9;pop_rap;8;1968-01-01;1973-01-01
10;rap;7;1968-01-01;1973-01-01
11;folk_rock;644;1968-01-01;1973-01-01
12;album_rock;280;1968-01-01;1973-01-01
13;classic_rock;486;1968-01-01;1973-01-01
14;quiet_storm;398;1968-01-01;1973-01-01
15;hip_hop;12;1968-01-01;1973-01-01
16;bubblegum_pop;542;1968-01-01;1973-01-01
17;rock-and-roll;248;1968-01-01;1973-01-01
18;funk;460;1968-01-01;1973-01-01
19;classic_soul;624;1968-01-01;1973-01-01
20;urban_contemporary;15;1968-01-01;1973-01-01
21;country;59;1968-01-01;1973-01-01
22;r&b;4;1968-01-01;1973-01-01
23;disco;271;1968-01-01;1973-01-01
24;post-teen_pop;3;1968-01-01;1973-01-01
25;new_wave_pop;22;1968-01-01;1973-01-01
26;contemporary_country;8;1968-01-01;1973-01-01
27;country_rock;279;1968-01-01;1973-01-01
28;southern_soul;460;1968-01-01;1973-01-01
29;country_road;7;1968-01-01;1973-01-01
30;trap;3;1968-01-01;1973-01-01
31;pop_rock;20;1968-01-01;1973-01-01
32;folk;324;1968-01-01;1973-01-01
33;southern_hip_hop;6;1968-01-01;1973-01-01
34;hard_rock;150;1968-01-01;1973-01-01
35;lounge;203;1968-01-01;1973-01-01
36;rhythm_and_blues;138;1968-01-01;1973-01-01
37;rockabilly;63;1968-01-01;1973-01-01
38;art_rock;146;1968-01-01;1973-01-01
39;dance_rock;11;1968-01-01;1973-01-01
40;new_jack_swing;2;1968-01-01;1973-01-01
41;merseybeat;202;1968-01-01;1973-01-01
42;classic_uk_pop;192;1968-01-01;1973-01-01
43;easy_listening;135;1968-01-01;1973-01-01
44;doo-wop;63;1968-01-01;1973-01-01
45;psychedelic_rock;280;1968-01-01;1973-01-01
46;gangster_rap;1;1968-01-01;1973-01-01
47;roots_rock;231;1968-01-01;1973-01-01
48;blues_rock;217;1968-01-01;1973-01-01
