index;genre;totals;start_date;end_date
0;mellow_gold;311;1988-01-01;1992-12-31
1;soft_rock;379;1988-01-01;1992-12-31
2;adult_standards;81;1988-01-01;1992-12-31
3;brill_building_pop;9;1988-01-01;1992-12-31
4;rock;400;1988-01-01;1992-12-31
5;dance_pop;186;1988-01-01;1992-12-31
6;pop;78;1988-01-01;1992-12-31
7;soul;58;1988-01-01;1992-12-31
8;motown;53;1988-01-01;1992-12-31
9;pop_rap;14;1988-01-01;1992-12-31
10;rap;71;1988-01-01;1992-12-31
11;folk_rock;94;1988-01-01;1992-12-31
12;album_rock;319;1988-01-01;1992-12-31
13;classic_rock;182;1988-01-01;1992-12-31
14;quiet_storm;195;1988-01-01;1992-12-31
15;hip_hop;76;1988-01-01;1992-12-31
16;bubblegum_pop;13;1988-01-01;1992-12-31
17;rock-and-roll;2;1988-01-01;1992-12-31
18;funk;110;1988-01-01;1992-12-31
19;classic_soul;10;1988-01-01;1992-12-31
20;urban_contemporary;225;1988-01-01;1992-12-31
21;country;10;1988-01-01;1992-12-31
22;r&b;167;1988-01-01;1992-12-31
23;disco;57;1988-01-01;1992-12-31
24;post-teen_pop;2;1988-01-01;1992-12-31
25;new_wave_pop;383;1988-01-01;1992-12-31
26;contemporary_country;3;1988-01-01;1992-12-31
27;country_rock;22;1988-01-01;1992-12-31
28;southern_soul;5;1988-01-01;1992-12-31
29;country_road;4;1988-01-01;1992-12-31
30;trap;7;1988-01-01;1992-12-31
31;pop_rock;128;1988-01-01;1992-12-31
32;folk;51;1988-01-01;1992-12-31
33;southern_hip_hop;12;1988-01-01;1992-12-31
34;hard_rock;229;1988-01-01;1992-12-31
35;lounge;5;1988-01-01;1992-12-31
36;hip_pop;73;1988-01-01;1992-12-31
37;rockabilly;1;1988-01-01;1992-12-31
38;art_rock;76;1988-01-01;1992-12-31
39;dance_rock;210;1988-01-01;1992-12-31
40;new_jack_swing;197;1988-01-01;1992-12-31
41;classic_uk_pop;29;1988-01-01;1992-12-31
42;easy_listening;1;1988-01-01;1992-12-31
43;psychedelic_rock;10;1988-01-01;1992-12-31
44;gangster_rap;39;1988-01-01;1992-12-31
45;roots_rock;40;1988-01-01;1992-12-31
46;blues_rock;35;1988-01-01;1992-12-31
