index;genre;totals;start_date;end_date
0;mellow_gold;19;1998-01-01;2002-12-31
1;soft_rock;12;1998-01-01;2002-12-31
2;adult_standards;4;1998-01-01;2002-12-31
3;rock;102;1998-01-01;2002-12-31
4;dance_pop;408;1998-01-01;2002-12-31
5;pop;208;1998-01-01;2002-12-31
6;soul;28;1998-01-01;2002-12-31
7;motown;5;1998-01-01;2002-12-31
8;pop_rap;246;1998-01-01;2002-12-31
9;rap;210;1998-01-01;2002-12-31
10;folk_rock;4;1998-01-01;2002-12-31
11;album_rock;8;1998-01-01;2002-12-31
12;classic_rock;11;1998-01-01;2002-12-31
13;quiet_storm;111;1998-01-01;2002-12-31
14;hip_hop;303;1998-01-01;2002-12-31
15;bubblegum_pop;1;1998-01-01;2002-12-31
16;rock-and-roll;1;1998-01-01;2002-12-31
17;funk;22;1998-01-01;2002-12-31
18;classic_soul;3;1998-01-01;2002-12-31
19;urban_contemporary;318;1998-01-01;2002-12-31
20;country;309;1998-01-01;2002-12-31
21;r&b;318;1998-01-01;2002-12-31
22;disco;4;1998-01-01;2002-12-31
23;post-teen_pop;54;1998-01-01;2002-12-31
24;new_wave_pop;32;1998-01-01;2002-12-31
25;contemporary_country;218;1998-01-01;2002-12-31
26;country_rock;77;1998-01-01;2002-12-31
27;southern_soul;3;1998-01-01;2002-12-31
28;country_road;247;1998-01-01;2002-12-31
29;trap;57;1998-01-01;2002-12-31
30;pop_rock;185;1998-01-01;2002-12-31
31;folk;15;1998-01-01;2002-12-31
32;southern_hip_hop;153;1998-01-01;2002-12-31
33;hard_rock;7;1998-01-01;2002-12-31
34;hip_pop;286;1998-01-01;2002-12-31
35;rockabilly;1;1998-01-01;2002-12-31
36;art_rock;2;1998-01-01;2002-12-31
37;dance_rock;3;1998-01-01;2002-12-31
38;new_jack_swing;154;1998-01-01;2002-12-31
39;psychedelic_rock;1;1998-01-01;2002-12-31
40;gangster_rap;137;1998-01-01;2002-12-31
41;roots_rock;3;1998-01-01;2002-12-31
42;blues_rock;5;1998-01-01;2002-12-31
