index;Genre;Count;start_date;end_date
0;mellow_gold;172;2003-01-01;2008-12-31
1;soft_rock;142;2003-01-01;2008-12-31
2;adult_standards;210;2003-01-01;2008-12-31
3;brill_building_pop;0;2003-01-01;2008-12-31
4;rock;1207;2003-01-01;2008-12-31
5;dance_pop;8816;2003-01-01;2008-12-31
6;pop;7721;2003-01-01;2008-12-31
7;soul;167;2003-01-01;2008-12-31
8;motown;124;2003-01-01;2008-12-31
9;pop_rap;8029;2003-01-01;2008-12-31
10;rap;5292;2003-01-01;2008-12-31
11;folk_rock;36;2003-01-01;2008-12-31
12;album_rock;38;2003-01-01;2008-12-31
13;classic_rock;79;2003-01-01;2008-12-31
14;quiet_storm;461;2003-01-01;2008-12-31
15;hip_hop;4195;2003-01-01;2008-12-31
16;rock-and-roll;0;2003-01-01;2008-12-31
17;bubblegum_pop;0;2003-01-01;2008-12-31
18;funk;87;2003-01-01;2008-12-31
19;classic_soul;22;2003-01-01;2008-12-31
20;urban_contemporary;4865;2003-01-01;2008-12-31
21;country;4844;2003-01-01;2008-12-31
22;r&b;5123;2003-01-01;2008-12-31
23;disco;75;2003-01-01;2008-12-31
24;post-teen_pop;3461;2003-01-01;2008-12-31
25;new_wave_pop;141;2003-01-01;2008-12-31
26;contemporary_country;4580;2003-01-01;2008-12-31
27;country_rock;605;2003-01-01;2008-12-31
28;country_road;4432;2003-01-01;2008-12-31
29;southern_soul;0;2003-01-01;2008-12-31
30;trap;3013;2003-01-01;2008-12-31
31;folk;156;2003-01-01;2008-12-31
32;pop_rock;3842;2003-01-01;2008-12-31
33;southern_hip_hop;3788;2003-01-01;2008-12-31
34;hard_rock;108;2003-01-01;2008-12-31
35;lounge;70;2003-01-01;2008-12-31
36;hip_pop;3880;2003-01-01;2008-12-31
37;rockabilly;0;2003-01-01;2008-12-31
38;rhythm_and_blues;0;2003-01-01;2008-12-31
39;art_rock;2;2003-01-01;2008-12-31
40;dance_rock;38;2003-01-01;2008-12-31
41;merseybeat;0;2003-01-01;2008-12-31
42;new_jack_swing;421;2003-01-01;2008-12-31
43;easy_listening;0;2003-01-01;2008-12-31
44;doo-wop;0;2003-01-01;2008-12-31
45;classic_uk_pop;0;2003-01-01;2008-12-31
46;psychedelic_rock;0;2003-01-01;2008-12-31
47;gangster_rap;2898;2003-01-01;2008-12-31
48;roots_rock;10;2003-01-01;2008-12-31
