index;Genre;Count;start_date;end_date
0;mellow_gold;1844;1993-01-01;1998-12-31
1;soft_rock;1360;1993-01-01;1998-12-31
2;adult_standards;404;1993-01-01;1998-12-31
3;brill_building_pop;67;1993-01-01;1998-12-31
4;rock;2562;1993-01-01;1998-12-31
5;dance_pop;5303;1993-01-01;1998-12-31
6;pop;2383;1993-01-01;1998-12-31
7;soul;675;1993-01-01;1998-12-31
8;motown;344;1993-01-01;1998-12-31
9;pop_rap;2108;1993-01-01;1998-12-31
10;rap;3047;1993-01-01;1998-12-31
11;folk_rock;301;1993-01-01;1998-12-31
12;album_rock;797;1993-01-01;1998-12-31
13;classic_rock;539;1993-01-01;1998-12-31
14;quiet_storm;3283;1993-01-01;1998-12-31
15;hip_hop;5157;1993-01-01;1998-12-31
16;rock-and-roll;70;1993-01-01;1998-12-31
17;bubblegum_pop;39;1993-01-01;1998-12-31
18;funk;932;1993-01-01;1998-12-31
19;classic_soul;116;1993-01-01;1998-12-31
20;urban_contemporary;5635;1993-01-01;1998-12-31
21;country;1121;1993-01-01;1998-12-31
22;r&b;5714;1993-01-01;1998-12-31
23;disco;221;1993-01-01;1998-12-31
24;post-teen_pop;62;1993-01-01;1998-12-31
25;new_wave_pop;1508;1993-01-01;1998-12-31
26;contemporary_country;584;1993-01-01;1998-12-31
27;country_rock;420;1993-01-01;1998-12-31
28;country_road;665;1993-01-01;1998-12-31
29;southern_soul;120;1993-01-01;1998-12-31
30;trap;308;1993-01-01;1998-12-31
31;folk;893;1993-01-01;1998-12-31
32;pop_rock;4176;1993-01-01;1998-12-31
33;southern_hip_hop;1512;1993-01-01;1998-12-31
34;hard_rock;386;1993-01-01;1998-12-31
35;lounge;65;1993-01-01;1998-12-31
36;hip_pop;4553;1993-01-01;1998-12-31
37;rockabilly;43;1993-01-01;1998-12-31
38;rhythm_and_blues;40;1993-01-01;1998-12-31
39;art_rock;131;1993-01-01;1998-12-31
40;dance_rock;349;1993-01-01;1998-12-31
41;merseybeat;22;1993-01-01;1998-12-31
42;new_jack_swing;4483;1993-01-01;1998-12-31
43;easy_listening;0;1993-01-01;1998-12-31
44;doo-wop;40;1993-01-01;1998-12-31
45;classic_uk_pop;0;1993-01-01;1998-12-31
46;psychedelic_rock;72;1993-01-01;1998-12-31
47;gangster_rap;2535;1993-01-01;1998-12-31
48;roots_rock;188;1993-01-01;1998-12-31
