index;Genre;Count;start_date;end_date
0;mellow_gold;3671;1963-01-01;1968-12-31
1;soft_rock;2312;1963-01-01;1968-12-31
2;adult_standards;7137;1963-01-01;1968-12-31
3;brill_building_pop;9641;1963-01-01;1968-12-31
4;rock;2783;1963-01-01;1968-12-31
5;dance_pop;88;1963-01-01;1968-12-31
6;pop;230;1963-01-01;1968-12-31
7;soul;5279;1963-01-01;1968-12-31
8;motown;5564;1963-01-01;1968-12-31
9;pop_rap;92;1963-01-01;1968-12-31
10;rap;92;1963-01-01;1968-12-31
11;folk_rock;5676;1963-01-01;1968-12-31
12;album_rock;1096;1963-01-01;1968-12-31
13;classic_rock;2428;1963-01-01;1968-12-31
14;quiet_storm;2151;1963-01-01;1968-12-31
15;hip_hop;102;1963-01-01;1968-12-31
16;rock-and-roll;5267;1963-01-01;1968-12-31
17;bubblegum_pop;6303;1963-01-01;1968-12-31
18;funk;2488;1963-01-01;1968-12-31
19;classic_soul;4375;1963-01-01;1968-12-31
20;urban_contemporary;29;1963-01-01;1968-12-31
21;country;265;1963-01-01;1968-12-31
22;r&b;0;1963-01-01;1968-12-31
23;disco;1209;1963-01-01;1968-12-31
24;post-teen_pop;59;1963-01-01;1968-12-31
25;new_wave_pop;108;1963-01-01;1968-12-31
26;contemporary_country;35;1963-01-01;1968-12-31
27;country_rock;679;1963-01-01;1968-12-31
28;country_road;48;1963-01-01;1968-12-31
29;southern_soul;2733;1963-01-01;1968-12-31
30;trap;3;1963-01-01;1968-12-31
31;folk;2018;1963-01-01;1968-12-31
32;pop_rock;11;1963-01-01;1968-12-31
33;southern_hip_hop;92;1963-01-01;1968-12-31
34;hard_rock;392;1963-01-01;1968-12-31
35;lounge;2706;1963-01-01;1968-12-31
36;hip_pop;0;1963-01-01;1968-12-31
37;rockabilly;1166;1963-01-01;1968-12-31
38;rhythm_and_blues;1804;1963-01-01;1968-12-31
39;art_rock;642;1963-01-01;1968-12-31
40;dance_rock;104;1963-01-01;1968-12-31
41;merseybeat;4170;1963-01-01;1968-12-31
42;new_jack_swing;0;1963-01-01;1968-12-31
43;easy_listening;1988;1963-01-01;1968-12-31
44;doo-wop;1120;1963-01-01;1968-12-31
45;classic_uk_pop;1854;1963-01-01;1968-12-31
46;psychedelic_rock;2839;1963-01-01;1968-12-31
47;gangster_rap;3;1963-01-01;1968-12-31
48;roots_rock;807;1963-01-01;1968-12-31
