index;Genre;Count;start_date;end_date
0;mellow_gold;229;1998-01-01;2003-12-31
1;soft_rock;141;1998-01-01;2003-12-31
2;adult_standards;53;1998-01-01;2003-12-31
3;brill_building_pop;0;1998-01-01;2003-12-31
4;rock;1905;1998-01-01;2003-12-31
5;dance_pop;7900;1998-01-01;2003-12-31
6;pop;4375;1998-01-01;2003-12-31
7;soul;463;1998-01-01;2003-12-31
8;motown;123;1998-01-01;2003-12-31
9;pop_rap;5128;1998-01-01;2003-12-31
10;rap;3617;1998-01-01;2003-12-31
11;folk_rock;44;1998-01-01;2003-12-31
12;album_rock;72;1998-01-01;2003-12-31
13;classic_rock;216;1998-01-01;2003-12-31
14;quiet_storm;1753;1998-01-01;2003-12-31
15;hip_hop;5053;1998-01-01;2003-12-31
16;rock-and-roll;2;1998-01-01;2003-12-31
17;bubblegum_pop;0;1998-01-01;2003-12-31
18;funk;351;1998-01-01;2003-12-31
19;classic_soul;39;1998-01-01;2003-12-31
20;urban_contemporary;5837;1998-01-01;2003-12-31
21;country;5374;1998-01-01;2003-12-31
22;r&b;5809;1998-01-01;2003-12-31
23;disco;66;1998-01-01;2003-12-31
24;post-teen_pop;1235;1998-01-01;2003-12-31
25;new_wave_pop;343;1998-01-01;2003-12-31
26;contemporary_country;4048;1998-01-01;2003-12-31
27;country_rock;1084;1998-01-01;2003-12-31
28;country_road;4469;1998-01-01;2003-12-31
29;southern_soul;39;1998-01-01;2003-12-31
30;trap;1074;1998-01-01;2003-12-31
31;folk;180;1998-01-01;2003-12-31
32;pop_rock;3637;1998-01-01;2003-12-31
33;southern_hip_hop;2701;1998-01-01;2003-12-31
34;hard_rock;75;1998-01-01;2003-12-31
35;lounge;0;1998-01-01;2003-12-31
36;hip_pop;5134;1998-01-01;2003-12-31
37;rockabilly;2;1998-01-01;2003-12-31
38;rhythm_and_blues;0;1998-01-01;2003-12-31
39;art_rock;49;1998-01-01;2003-12-31
40;dance_rock;16;1998-01-01;2003-12-31
41;merseybeat;0;1998-01-01;2003-12-31
42;new_jack_swing;2465;1998-01-01;2003-12-31
43;easy_listening;0;1998-01-01;2003-12-31
44;doo-wop;0;1998-01-01;2003-12-31
45;classic_uk_pop;0;1998-01-01;2003-12-31
46;psychedelic_rock;1;1998-01-01;2003-12-31
47;gangster_rap;2116;1998-01-01;2003-12-31
48;roots_rock;27;1998-01-01;2003-12-31
