Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
10 Alimentación;Total Nacional;;valor absoluto;2022;115517709
10 Alimentación;Total Nacional;;valor absoluto;2021;95894379
10 Alimentación;Total Nacional;;porcentaje;2022;100.0
10 Alimentación;Total Nacional;;porcentaje;2021;100.0
10 Alimentación;Total Nacional;01 Andalucía;valor absoluto;2022;16714373
10 Alimentación;Total Nacional;01 Andalucía;valor absoluto;2021;14344709
10 Alimentación;Total Nacional;01 Andalucía;porcentaje;2022;14.5
10 Alimentación;Total Nacional;01 Andalucía;porcentaje;2021;15.0
10 Alimentación;Total Nacional;02 Aragón;valor absoluto;2022;7010191
10 Alimentación;Total Nacional;02 Aragón;valor absoluto;2021;5585238
10 Alimentación;Total Nacional;02 Aragón;porcentaje;2022;6.1
10 Alimentación;Total Nacional;02 Aragón;porcentaje;2021;5.8
10 Alimentación;Total Nacional;03 Asturias Principado de;valor absoluto;2022;1661693
10 Alimentación;Total Nacional;03 Asturias Principado de;valor absoluto;2021;1413374
10 Alimentación;Total Nacional;03 Asturias Principado de;porcentaje;2022;1.4
10 Alimentación;Total Nacional;03 Asturias Principado de;porcentaje;2021;1.5
10 Alimentación;Total Nacional;04 Balears Illes;valor absoluto;2022;0.0
10 Alimentación;Total Nacional;04 Balears Illes;valor absoluto;2021;405608
10 Alimentación;Total Nacional;04 Balears Illes;porcentaje;2022;0.0
10 Alimentación;Total Nacional;04 Balears Illes;porcentaje;2021;0.4
10 Alimentación;Total Nacional;05 Canarias;valor absoluto;2022;1022430
10 Alimentación;Total Nacional;05 Canarias;valor absoluto;2021;855914
10 Alimentación;Total Nacional;05 Canarias;porcentaje;2022;0.9
10 Alimentación;Total Nacional;05 Canarias;porcentaje;2021;0.9
10 Alimentación;Total Nacional;06 Cantabria;valor absoluto;2022;1297990
10 Alimentación;Total Nacional;06 Cantabria;valor absoluto;2021;1043961
10 Alimentación;Total Nacional;06 Cantabria;porcentaje;2022;1.1
10 Alimentación;Total Nacional;06 Cantabria;porcentaje;2021;1.1
10 Alimentación;Total Nacional;07 Castilla y León;valor absoluto;2022;11647485
10 Alimentación;Total Nacional;07 Castilla y León;valor absoluto;2021;9638968
10 Alimentación;Total Nacional;07 Castilla y León;porcentaje;2022;10.1
10 Alimentación;Total Nacional;07 Castilla y León;porcentaje;2021;10.1
10 Alimentación;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022;8392345
10 Alimentación;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021;6978223
10 Alimentación;Total Nacional;08 Castilla - La Mancha;porcentaje;2022;7.3
10 Alimentación;Total Nacional;08 Castilla - La Mancha;porcentaje;2021;7.3
10 Alimentación;Total Nacional;09 Cataluña;valor absoluto;2022;26252950
10 Alimentación;Total Nacional;09 Cataluña;valor absoluto;2021;21781090
10 Alimentación;Total Nacional;09 Cataluña;porcentaje;2022;22.7
10 Alimentación;Total Nacional;09 Cataluña;porcentaje;2021;22.7
10 Alimentación;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022;10134271
10 Alimentación;Total Nacional;10 Comunitat Valenciana;valor absoluto;2021;7915482
10 Alimentación;Total Nacional;10 Comunitat Valenciana;porcentaje;2022;8.8
10 Alimentación;Total Nacional;10 Comunitat Valenciana;porcentaje;2021;8.3
10 Alimentación;Total Nacional;11 Extremadura;valor absoluto;2022;3237285
10 Alimentación;Total Nacional;11 Extremadura;valor absoluto;2021;2755298
10 Alimentación;Total Nacional;11 Extremadura;porcentaje;2022;2.8
10 Alimentación;Total Nacional;11 Extremadura;porcentaje;2021;2.9
